"Distance[m]" "Pseudodepth[m]" "Apparent resistivity[ohmm]"
1770 60 2932.991
1790 60 2439.133
1810 60 2467.407
1730 60 2028.212
1750 60 1875.531
1800 40 3771.168
1820 40 2659.044
1840 40 3103.894
1760 40 2734.442
1780 40 3110.177
1830 20 4002.389
1790 20 4165.752
1850 20 4222.301
1810 20 4096.637
1870 20 3663.097
1780 120 801.860
1800 120 963.589
1820 120 434.671
1770 100 891.898
1790 100 819.642
1810 100 1116.836
1830 100 995.885
1850 100 904.779
1800 80 1337.062
1820 80 1545.664
1840 80 1163.646
1860 80 2548.460
1880 80 1048.035
1870 60 2982.000
1890 60 3234.584
1910 60 1924.540
1830 60 2303.416
1850 60 2252.522
1900 40 3512.301
1920 40 3271.026
1940 40 2935.504
1860 40 3087.557
1880 40 3512.301
1930 20 4756.371
1890 20 3883.009
1950 20 5793.097
1910 20 3870.442
1970 20 4951.150
1880 120 618.265
1900 120 972.637
1920 120 983.947
1870 100 961.327
1890 100 920.487
1910 100 992.743
1930 100 1194.434
1950 100 1501.681
1900 80 1115.894
1920 80 2435.363
1940 80 1611.009
1960 80 1206.372
1980 80 1749.239
1970 60 2246.867
1990 60 2910.371
2010 60 2716.221
1930 60 2162.044
1950 60 2278.911
2000 40 3924.478
2020 40 3309.982
2040 40 2970.690
1960 40 3136.566
1980 40 3762.371
2030 20 4863.185
1990 20 6358.584
2050 20 4825.486
2010 20 4863.185
2070 20 4995.132
1980 120 1282.524
2000 120 783.765
2020 120 980.177
1970 100 1231.504
1990 100 955.044
2010 100 1539.380
2030 100 1384.395
2050 100 1137.257
2000 80 1839.717
2020 80 2749.522
2040 80 1241.557
2060 80 1327.009
2080 80 1344.602
2070 60 2480.602
2090 60 2220.478
2110 60 2484.371
2030 60 1720.964
2050 60 2011.248
2100 40 3911.911
2120 40 3080.017
2140 40 3636.708
2060 40 3630.424
2080 40 3690.743
2130 20 5202.477
2090 20 5051.681
2150 20 4825.486
2110 20 4825.486
2170 20 5365.840
1945 30 4712.389
2035 30 4071.504
1955 30 4071.504
2045 30 3958.407
1965 30 3739.752
2055 30 3345.796
1975 30 4636.991
1985 30 4825.486
1995 30 4373.097
2005 30 4806.637
2015 30 3939.557
2025 30 3958.407
1940 20 5705.132
2000 20 5390.973
2060 20 4712.389
1960 20 6044.424
2020 20 5039.115
1980 20 5862.212
2040 20 4071.504
1922.5 15 3930.132
1967.5 15 7341.902
2012.5 15 5353.274
2057.5 15 5178.915
1927.5 15 4406.084
1972.5 15 6606.769
2017.5 15 5701.991
2062.5 15 5230.752
1932.5 15 4877.323
1977.5 15 5692.566
2022.5 15 4891.460
2067.5 15 5447.522
1937.5 15 5805.663
1982.5 15 6276.902
2027.5 15 4297.699
2072.5 15 5230.752
1942.5 15 6234.491
1987.5 15 7473.849
2032.5 15 4128.053
2077.5 15 5409.823
1947.5 15 6050.707
1992.5 15 7803.716
2037.5 15 5249.601
1952.5 15 5862.212
1997.5 15 5843.362
2042.5 15 5221.327
1957.5 15 6644.468
2002.5 15 4467.345
2047.5 15 5183.628
1962.5 15 7445.575
2007.5 15 4542.743
2052.5 15 4976.283
1915 10 3631.681
1945 10 6968.053
1975 10 7508.406
2005 10 3273.540
2035 10 5416.106
2065 10 6440.265
1920 10 3996.106
1950 10 6477.964
1980 10 8227.831
2010 10 5171.062
2040 10 5566.902
2070 10 5560.619
1925 10 4677.831
1955 10 6214.070
1985 10 8073.893
2015 10 5887.345
2045 10 6324.026
2075 10 6396.283
1930 10 4781.504
1960 10 7489.557
1990 10 7872.831
2020 10 4373.097
2050 10 5309.292
2080 10 6295.752
1935 10 4913.451
1965 10 9393.362
1995 10 7382.743
2025 10 3945.840
2055 10 5604.601
2085 10 5642.300
1940 10 6013.008
1970 10 8180.707
2000 10 5629.734
2030 10 5098.805
2060 10 6452.831
1907.5 5 4916.593
1922.5 5 6283.185
1937.5 5 8827.875
1952.5 5 10021.681
1967.5 5 12943.362
1982.5 5 13728.760
1997.5 5 11215.486
2012.5 5 8325.221
2027.5 5 9958.849
2042.5 5 10210.176
2057.5 5 11089.822
2072.5 5 10964.158
2087.5 5 9676.105
1912.5 5 5178.915
1927.5 5 6942.920
1942.5 5 10398.672
1957.5 5 9833.185
1972.5 5 11686.725
1987.5 5 15330.972
2002.5 5 5700.420
2017.5 5 7367.035
2032.5 5 11215.486
2047.5 5 11466.813
2062.5 5 11938.052
2077.5 5 11184.070
2092.5 5 12189.379
1917.5 5 5265.309
1932.5 5 8984.955
1947.5 5 8765.044
1962.5 5 12707.742
1977.5 5 13760.176
1992.5 5 11906.636
2007.5 5 4413.938
2022.5 5 10021.681
2037.5 5 9833.185
2052.5 5 9927.433
2067.5 5 10995.574
2082.5 5 11623.893
2080 120 437.310
2100 120 789.419
2120 120 452.389
2070 100 829.380
2090 100 718.796
2110 100 829.380
2130 100 813.672
2150 100 676.699
2100 80 1417.487
2120 80 1168.672
2140 80 1025.416
2160 80 1414.973
2180 80 1244.071
2170 60 2286.451
2190 60 2672.867
2210 60 2469.292
2130 60 2273.256
2150 60 2015.018
2200 40 3503.504
2220 40 4210.991
2240 40 3818.920
2160 40 3883.009
2180 40 3739.752
2230 20 6402.566
2190 20 5736.548
2250 20 4988.849
2210 20 5466.371
2270 20 5328.141
2180 120 610.726
2200 120 372.090
2220 120 448.996
2170 100 810.531
2190 100 1053.690
2210 100 803.619
2230 100 630.203
2250 100 739.531
2200 80 1646.195
2220 80 1568.283
2240 80 1379.787
2260 80 1186.265
2280 80 1060.602
2270 60 2056.487
2290 60 1696.460
2310 60 2047.062
2230 60 2305.301
2250 60 2299.646
2300 40 3684.460
2320 40 3013.416
2340 40 3429.363
2260 40 3401.717
2280 40 3749.805
2330 20 6597.345
2290 20 5610.884
2350 20 5064.247
2310 20 4825.486
2370 20 6320.884
2280 120 614.119
2300 120 1123.057
2320 120 444.473
2270 100 705.602
2290 100 920.487
2310 100 816.814
2330 100 838.805
